# K_λ^alg 측정: N=437, 100 trials
  노이즈                    mean  max   mean/baseline
  noise-free             4.97   17           1.000
  depol p=0.1            6.09   24           1.225
  depol p=0.3            7.40   28           1.489
  depol p=0.5            9.19   58           1.849
  depol p=0.7           14.11   66           2.839
  bias_zero p=0.5       10.80   47           2.173
  modexp q=0.3          11.50   52           2.314
  modexp q=0.5          20.28   64           4.080
  phase σ=1.0           13.06   48           2.628
  phase σ=2.0           69.12  200          13.907

# 정리 3 (destructive case) 예측 vs 실측 (E[K_λ^ideal] = 1.83 사용):
# 노이즈          g_M(L=1)  예측 K_λ^alg  실측   오차    destructive 적용
# noise-free      0.380     4.82          4.97   +3%     ✓
# depol p=0.1     0.340     5.38          6.09   +13%    ✓
# depol p=0.3     0.262     6.98          7.40   +6%     ✓
# depol p=0.5     0.226     8.10          9.19   +13%    ✓
# depol p=0.7     0.156     11.73         14.11  +20%    ✓
# bias_zero p=0.5 0.188     9.73          10.80  +11%    ✓
# modexp q=0.3    0.212     8.63          11.50  +33%    △ (근사)
# modexp q=0.5    0.130     14.08         20.28  +44%    △
# phase σ=1.0     0.194     9.43          13.06  +38%    ✗ (structural)
# phase σ=2.0     0.064     28.59         69.12  +142%   ✗ (200-cap 영향 포함)
