# K_λ 경험 분포 — 1000 trials per N
      N      p     q       λ(N)  ω(λ)   mean   med   p90   p99   max   thm2c   thm2b   ok
     15      3     5          4     1   1.70     1     3     6     9   2.000   2.000    ✓
     21      3     7          6     2   1.58     1     3     4     5   1.833   3.000    ✓
     33      3    11         10     2   1.47     1     2     4     5   1.583   3.000    ✓
     35      5     7         12     2   2.21     2     4     7    10   2.500   3.000    ✓
     77      7    11         30     3   1.82     2     3     5     7   2.083   3.585    ✓
     91      7    13         12     2   1.97     2     3     7     9   2.125   3.000    ✓
    143     11    13         60     3   2.37     2     4     7    10   2.750   3.585    ✓
    187     11    17         80     2   2.13     2     4     7    13   2.250   3.000    ✓
    209     11    19         90     3   1.93     2     3     5     7   2.083   3.585    ✓
    221     13    17         48     2   2.33     2     4     8    10   2.500   3.000    ✓
    247     13    19         36     2   2.23     2     4     7     9   2.500   3.000    ✓
    323     17    19        144     2   2.22     2     4     7     9   2.500   3.000    ✓
    391     17    23        176     2   2.02     2     4     8    11   2.100   3.000    ✓
    437     19    23        198     3   1.83     2     3     5     7   1.933   3.585    ✓
   1147     31    37        180     3   2.42     2     4     8    12   2.750   3.585    ✓
   2491     47    53       1196     3   2.11     2     4     7    14   2.129   3.585    ✓
   4087     61    67        660     4   2.26     2     4     8    11   2.475   4.000    ✓
