# Pure Regev (faithful LLL v2) K histograms at N=437
# d=4
# 2026-06-14 02:25:56

seed	sigma	K	count
1	0.000	1	35
1	0.000	2	9
1	0.000	3	2
1	0.000	20	4
1	0.050	1	39
1	0.050	2	5
1	0.050	3	2
1	0.050	20	4
1	0.150	1	39
1	0.150	2	5
1	0.150	3	2
1	0.150	20	4
2	0.000	1	37
2	0.000	2	9
2	0.000	3	1
2	0.000	20	3
2	0.050	1	37
2	0.050	2	8
2	0.050	3	1
2	0.050	4	1
2	0.050	20	3
2	0.150	1	35
2	0.150	2	10
2	0.150	3	1
2	0.150	4	1
2	0.150	20	3
3	0.000	1	36
3	0.000	2	8
3	0.000	3	2
3	0.000	4	1
3	0.000	20	3
3	0.050	1	36
3	0.050	2	10
3	0.050	3	1
3	0.050	20	3
3	0.150	1	38
3	0.150	2	7
3	0.150	3	2
3	0.150	20	3
4	0.000	1	40
4	0.000	2	4
4	0.000	4	1
4	0.000	20	5
4	0.050	1	34
4	0.050	2	9
4	0.050	3	2
4	0.050	20	5
4	0.150	1	36
4	0.150	2	7
4	0.150	3	2
4	0.150	20	5
5	0.000	1	42
5	0.000	2	4
5	0.000	3	3
5	0.000	20	1
5	0.050	1	40
5	0.050	2	8
5	0.050	4	1
5	0.050	20	1
5	0.150	1	41
5	0.150	2	7
5	0.150	4	1
5	0.150	20	1
