# Pure Shor K histograms at N=437
# d=1 (single base), NO (C) augmentation
# 2026-06-14 00:41:53

seed	sigma	K	count
1	0.000	1	28
1	0.000	2	9
1	0.000	3	3
1	0.000	5	2
1	0.000	20	58
1	0.050	1	29
1	0.050	2	9
1	0.050	3	2
1	0.050	4	2
1	0.050	20	58
1	0.150	1	27
1	0.150	2	10
1	0.150	3	3
1	0.150	4	2
1	0.150	20	58
2	0.000	1	36
2	0.000	2	11
2	0.000	3	3
2	0.000	4	2
2	0.000	5	2
2	0.000	20	46
2	0.050	1	39
2	0.050	2	9
2	0.050	3	4
2	0.050	4	1
2	0.050	6	1
2	0.050	20	46
2	0.150	1	38
2	0.150	2	9
2	0.150	3	4
2	0.150	4	2
2	0.150	6	1
2	0.150	20	46
3	0.000	1	35
3	0.000	2	10
3	0.000	3	8
3	0.000	6	1
3	0.000	20	46
3	0.050	1	33
3	0.050	2	7
3	0.050	3	11
3	0.050	4	2
3	0.050	5	1
3	0.050	20	46
3	0.150	1	33
3	0.150	2	7
3	0.150	3	10
3	0.150	4	3
3	0.150	5	1
3	0.150	20	46
4	0.000	1	39
4	0.000	2	13
4	0.000	3	5
4	0.000	4	1
4	0.000	5	1
4	0.000	20	41
4	0.050	1	37
4	0.050	2	15
4	0.050	3	2
4	0.050	4	2
4	0.050	5	1
4	0.050	6	1
4	0.050	7	1
4	0.050	20	41
4	0.150	1	37
4	0.150	2	15
4	0.150	3	2
4	0.150	4	2
4	0.150	5	1
4	0.150	6	1
4	0.150	7	1
4	0.150	20	41
5	0.000	1	32
5	0.000	2	12
5	0.000	3	5
5	0.000	4	1
5	0.000	5	1
5	0.000	6	1
5	0.000	20	48
5	0.050	1	38
5	0.050	2	9
5	0.050	3	2
5	0.050	5	2
5	0.050	6	1
5	0.050	20	48
5	0.150	1	37
5	0.150	2	10
5	0.150	3	2
5	0.150	5	2
5	0.150	6	1
5	0.150	20	48
