# σ scan extension at N=437 d=4
# Started: 2026-06-13 16:00:48
# Per-cell K_mean (append-only)

sigma   seed  K_mean
0.000   4     1.7200
0.005   4     1.7050
0.010   4     1.7050
0.015   4     1.7050
0.020   4     1.7050
0.025   4     1.7050
0.035   4     1.7100
0.050   4     1.7100
0.075   4     1.7100
0.100   4     1.7100
0.150   4     1.7100
0.200   4     1.7150
0.000   5     1.6300
0.005   5     1.6200
0.010   5     1.6200
0.015   5     1.6200
0.020   5     1.6200
0.025   5     1.6200
0.035   5     1.6200
0.050   5     1.6200
0.075   5     1.6200
0.100   5     1.6200
0.150   5     1.6250
0.200   5     1.6350
0.000   6     1.5500
0.005   6     1.5450
0.010   6     1.5450
0.015   6     1.5450
0.020   6     1.5450
0.025   6     1.5450
0.035   6     1.5450
0.050   6     1.5450
0.075   6     1.5450
0.100   6     1.5450
0.150   6     1.5450
0.200   6     1.5500
0.000   7     1.5150
0.005   7     1.5100
0.010   7     1.5100
0.015   7     1.5100
0.020   7     1.5100
0.025   7     1.5100
0.035   7     1.5100
0.050   7     1.5100
0.075   7     1.5100
0.100   7     1.5100
0.150   7     1.5100
0.200   7     1.5150
0.000   8     2.3150
0.005   8     2.3000
0.010   8     2.3050
0.015   8     2.3050
0.020   8     2.3050
0.025   8     2.3050
0.035   8     2.3050
0.050   8     2.3050
0.075   8     2.3050
0.100   8     2.3050
0.150   8     2.3100
0.200   8     2.3250
0.000   9     2.2150
0.005   9     2.1800
0.010   9     2.1800
0.015   9     2.1800
0.020   9     2.1800
0.025   9     2.1800
0.035   9     2.1800
0.050   9     2.1800
0.075   9     2.1800
0.100   9     2.1850
0.150   9     2.1900
0.200   9     2.1950
0.000   10     2.0900
0.005   10     2.1100
0.010   10     2.1100
0.015   10     2.1100
0.020   10     2.1100
0.025   10     2.1100
0.035   10     2.1100
0.050   10     2.1100
0.075   10     2.1100
0.100   10     2.1150
0.150   10     2.1200
0.200   10     2.1200
0.000   11     1.8200
0.005   11     1.8350
0.010   11     1.8350
0.015   11     1.8350
0.020   11     1.8350
0.025   11     1.8350
0.035   11     1.8350
0.050   11     1.8400
0.075   11     1.8400
0.100   11     1.8450
0.150   11     1.8450
0.200   11     1.8500
0.000   12     1.8150
0.005   12     1.8400
0.010   12     1.8400
0.015   12     1.8400
0.020   12     1.8400
0.025   12     1.8400
0.035   12     1.8400
0.050   12     1.8400
0.075   12     1.8400
0.100   12     1.8400
0.150   12     1.8450
0.200   12     1.8450
0.000   13     1.7200
0.005   13     1.7250
0.010   13     1.7250
0.015   13     1.7250
0.020   13     1.7250
0.025   13     1.7250
0.035   13     1.7250
0.050   13     1.7250
0.075   13     1.7250
0.100   13     1.7250
0.150   13     1.7300
0.200   13     1.7300
