# K histograms for σ scan at N=437 d=4
# Started: 2026-06-13 16:00:48
# Borderline K-boundary 가설 검증용

seed	sigma	K	count
1	0.000	1	177
1	0.000	2	10
1	0.000	3	1
1	0.000	20	12
1	0.050	1	179
1	0.050	2	9
1	0.050	20	12
2	0.000	1	182
2	0.000	2	11
2	0.000	3	1
2	0.000	4	1
2	0.000	20	5
2	0.050	1	185
2	0.050	2	10
2	0.050	20	5
3	0.000	1	182
3	0.000	2	11
3	0.000	20	7
3	0.050	1	180
3	0.050	2	12
3	0.050	3	1
3	0.050	20	7
4	0.000	1	182
4	0.000	2	11
4	0.000	20	7
4	0.005	1	185
4	0.005	2	8
4	0.005	20	7
4	0.010	1	185
4	0.010	2	8
4	0.010	20	7
4	0.015	1	185
4	0.015	2	8
4	0.015	20	7
4	0.020	1	185
4	0.020	2	8
4	0.020	20	7
4	0.025	1	185
4	0.025	2	8
4	0.025	20	7
4	0.035	1	184
4	0.035	2	9
4	0.035	20	7
4	0.050	1	184
4	0.050	2	9
4	0.050	20	7
4	0.075	1	184
4	0.075	2	9
4	0.075	20	7
4	0.100	1	184
4	0.100	2	9
4	0.100	20	7
4	0.150	1	184
4	0.150	2	9
4	0.150	20	7
4	0.200	1	184
4	0.200	2	8
4	0.200	3	1
4	0.200	20	7
5	0.000	1	183
5	0.000	2	10
5	0.000	3	1
5	0.000	20	6
5	0.005	1	184
5	0.005	2	10
5	0.005	20	6
5	0.010	1	184
5	0.010	2	10
5	0.010	20	6
5	0.015	1	184
5	0.015	2	10
5	0.015	20	6
5	0.020	1	184
5	0.020	2	10
5	0.020	20	6
5	0.025	1	184
5	0.025	2	10
5	0.025	20	6
5	0.035	1	184
5	0.035	2	10
5	0.035	20	6
5	0.050	1	184
5	0.050	2	10
5	0.050	20	6
5	0.075	1	184
5	0.075	2	10
5	0.075	20	6
5	0.100	1	184
5	0.100	2	10
5	0.100	20	6
5	0.150	1	184
5	0.150	2	9
5	0.150	3	1
5	0.150	20	6
5	0.200	1	182
5	0.200	2	11
5	0.200	3	1
5	0.200	20	6
6	0.000	1	181
6	0.000	2	13
6	0.000	3	1
6	0.000	20	5
6	0.005	1	181
6	0.005	2	14
6	0.005	20	5
6	0.010	1	181
6	0.010	2	14
6	0.010	20	5
6	0.015	1	181
6	0.015	2	14
6	0.015	20	5
6	0.020	1	181
6	0.020	2	14
6	0.020	20	5
6	0.025	1	181
6	0.025	2	14
6	0.025	20	5
6	0.035	1	181
6	0.035	2	14
6	0.035	20	5
6	0.050	1	181
6	0.050	2	14
6	0.050	20	5
6	0.075	1	181
6	0.075	2	14
6	0.075	20	5
6	0.100	1	181
6	0.100	2	14
6	0.100	20	5
6	0.150	1	181
6	0.150	2	14
6	0.150	20	5
6	0.200	1	180
6	0.200	2	15
6	0.200	20	5
7	0.000	1	187
7	0.000	2	8
7	0.000	20	5
7	0.005	1	189
7	0.005	2	5
7	0.005	3	1
7	0.005	20	5
7	0.010	1	189
7	0.010	2	5
7	0.010	3	1
7	0.010	20	5
7	0.015	1	189
7	0.015	2	5
7	0.015	3	1
7	0.015	20	5
7	0.020	1	189
7	0.020	2	5
7	0.020	3	1
7	0.020	20	5
7	0.025	1	189
7	0.025	2	5
7	0.025	3	1
7	0.025	20	5
7	0.035	1	189
7	0.035	2	5
7	0.035	3	1
7	0.035	20	5
7	0.050	1	189
7	0.050	2	5
7	0.050	3	1
7	0.050	20	5
7	0.075	1	189
7	0.075	2	5
7	0.075	3	1
7	0.075	20	5
7	0.100	1	189
7	0.100	2	5
7	0.100	3	1
7	0.100	20	5
7	0.150	1	189
7	0.150	2	5
7	0.150	3	1
7	0.150	20	5
7	0.200	1	188
7	0.200	2	6
7	0.200	3	1
7	0.200	20	5
8	0.000	1	173
8	0.000	2	12
8	0.000	3	2
8	0.000	20	13
8	0.005	1	175
8	0.005	2	11
8	0.005	3	1
8	0.005	20	13
8	0.010	1	175
8	0.010	2	10
8	0.010	3	2
8	0.010	20	13
8	0.015	1	175
8	0.015	2	10
8	0.015	3	2
8	0.015	20	13
8	0.020	1	175
8	0.020	2	10
8	0.020	3	2
8	0.020	20	13
8	0.025	1	175
8	0.025	2	10
8	0.025	3	2
8	0.025	20	13
8	0.035	1	175
8	0.035	2	10
8	0.035	3	2
8	0.035	20	13
8	0.050	1	175
8	0.050	2	10
8	0.050	3	2
8	0.050	20	13
8	0.075	1	175
8	0.075	2	10
8	0.075	3	2
8	0.075	20	13
8	0.100	1	175
8	0.100	2	10
8	0.100	3	2
8	0.100	20	13
8	0.150	1	175
8	0.150	2	9
8	0.150	3	3
8	0.150	20	13
