# K histograms at N=1147 d=2
# Started: 2026-06-13 18:20:07

seed	sigma	K	count
1	0.000	1	56
1	0.000	2	20
1	0.000	3	11
1	0.000	4	2
1	0.000	5	2
1	0.000	6	1
1	0.000	8	1
1	0.000	9	1
1	0.000	10	1
1	0.000	20	5
1	0.025	1	65
1	0.025	2	11
1	0.025	3	10
1	0.025	4	2
1	0.025	5	3
1	0.025	6	1
1	0.025	9	1
1	0.025	10	1
1	0.025	11	1
1	0.025	20	5
1	0.050	1	65
1	0.050	2	11
1	0.050	3	10
1	0.050	4	2
1	0.050	5	3
1	0.050	6	1
1	0.050	9	1
1	0.050	10	1
1	0.050	11	1
1	0.050	20	5
1	0.150	1	64
1	0.150	2	11
1	0.150	3	11
1	0.150	4	2
1	0.150	5	3
1	0.150	6	1
1	0.150	9	1
1	0.150	10	1
1	0.150	12	1
1	0.150	20	5
1	0.200	1	64
1	0.200	2	11
1	0.200	3	11
1	0.200	4	2
1	0.200	5	3
1	0.200	6	1
1	0.200	9	1
1	0.200	10	1
1	0.200	12	1
1	0.200	20	5
2	0.000	1	53
2	0.000	2	18
2	0.000	3	10
2	0.000	4	5
2	0.000	5	2
2	0.000	6	2
2	0.000	7	1
2	0.000	8	1
2	0.000	9	1
2	0.000	20	7
2	0.025	1	58
2	0.025	2	14
2	0.025	3	4
2	0.025	4	7
2	0.025	5	4
2	0.025	6	3
2	0.025	7	3
2	0.025	20	7
2	0.050	1	58
2	0.050	2	14
2	0.050	3	4
2	0.050	4	7
2	0.050	5	4
2	0.050	6	3
2	0.050	7	3
2	0.050	20	7
2	0.150	1	57
2	0.150	2	14
2	0.150	3	4
2	0.150	4	6
2	0.150	5	5
2	0.150	6	3
2	0.150	7	3
2	0.150	11	1
2	0.150	20	7
2	0.200	1	57
2	0.200	2	14
2	0.200	3	4
2	0.200	4	5
2	0.200	5	5
2	0.200	6	3
2	0.200	7	3
2	0.200	10	1
2	0.200	11	1
2	0.200	20	7
3	0.000	1	53
3	0.000	2	21
3	0.000	3	7
3	0.000	4	2
3	0.000	5	3
3	0.000	6	2
3	0.000	7	2
3	0.000	8	1
3	0.000	11	1
3	0.000	15	1
3	0.000	20	7
3	0.025	1	54
3	0.025	2	19
3	0.025	3	7
3	0.025	4	3
3	0.025	5	7
3	0.025	6	2
3	0.025	7	1
3	0.025	8	1
3	0.025	20	6
3	0.050	1	54
3	0.050	2	19
3	0.050	3	7
3	0.050	4	3
3	0.050	5	7
3	0.050	6	2
3	0.050	7	1
3	0.050	8	1
3	0.050	20	6
3	0.150	1	52
3	0.150	2	20
3	0.150	3	7
3	0.150	4	3
3	0.150	5	7
3	0.150	6	3
3	0.150	7	1
3	0.150	8	1
3	0.150	20	6
3	0.200	1	50
3	0.200	2	21
3	0.200	3	7
3	0.200	4	3
3	0.200	5	7
3	0.200	6	3
3	0.200	7	1
3	0.200	8	1
3	0.200	11	1
3	0.200	20	6
4	0.000	1	57
4	0.000	2	17
4	0.000	3	8
4	0.000	4	3
4	0.000	5	5
4	0.000	6	1
4	0.000	8	3
4	0.000	10	1
4	0.000	20	5
4	0.025	1	60
4	0.025	2	15
4	0.025	3	6
4	0.025	4	9
4	0.025	5	3
4	0.025	6	1
4	0.025	10	1
4	0.025	11	1
4	0.025	20	4
4	0.050	1	59
4	0.050	2	16
4	0.050	3	6
4	0.050	4	9
4	0.050	5	3
4	0.050	6	1
4	0.050	10	1
4	0.050	11	1
4	0.050	20	4
4	0.150	1	58
4	0.150	2	17
4	0.150	3	7
4	0.150	4	8
4	0.150	5	3
4	0.150	6	1
4	0.150	10	1
4	0.150	11	1
4	0.150	20	4
4	0.200	1	56
4	0.200	2	17
4	0.200	3	10
4	0.200	4	6
4	0.200	5	3
4	0.200	6	1
4	0.200	10	1
4	0.200	11	1
4	0.200	14	1
4	0.200	20	4
5	0.000	1	54
5	0.000	2	19
5	0.000	3	14
5	0.000	4	6
5	0.000	5	4
5	0.000	6	1
5	0.000	20	2
5	0.025	1	50
5	0.025	2	27
5	0.025	3	11
5	0.025	4	4
5	0.025	5	4
5	0.025	6	1
5	0.025	11	1
5	0.025	20	2
5	0.050	1	50
5	0.050	2	27
5	0.050	3	11
5	0.050	4	4
5	0.050	5	4
5	0.050	6	1
5	0.050	11	1
5	0.050	20	2
5	0.150	1	51
5	0.150	2	27
5	0.150	3	10
5	0.150	4	4
5	0.150	5	4
5	0.150	6	1
5	0.150	11	1
5	0.150	20	2
5	0.200	1	51
5	0.200	2	27
5	0.200	3	10
5	0.200	4	4
5	0.200	5	4
5	0.200	6	1
5	0.200	11	1
5	0.200	20	2
