# sigma scan at N=1147 d=2
# Started: 2026-06-13 18:20:07

sigma   seed  K_mean
0.000   1     2.8000
0.025   1     2.7600
0.050   1     2.7600
0.150   1     2.7900
0.200   1     2.7900
0.000   2     3.2500
0.025   2     3.2500
0.050   2     3.2500
0.150   2     3.3600
0.200   2     3.4200
0.000   3     3.3900
0.025   3     3.0700
0.050   3     3.0700
0.150   3     3.1300
0.200   3     3.2400
0.000   4     2.9200
0.025   4     2.6600
0.050   4     2.6700
0.150   4     2.6700
0.200   4     2.8000
0.000   5     2.2400
0.025   5     2.3000
0.050   5     2.3000
0.150   5     2.2800
0.200   5     2.2800
