# K histograms at N=1147 d=2 (extended)
# 2026-06-13 21:14:54

seed	sigma	K	count
2	0.000	1	53
2	0.000	2	18
2	0.000	3	10
2	0.000	4	5
2	0.000	5	2
2	0.000	6	2
2	0.000	7	1
2	0.000	8	1
2	0.000	9	1
2	0.000	20	7
2	0.025	1	58
2	0.025	2	14
2	0.025	3	4
2	0.025	4	7
2	0.025	5	4
2	0.025	6	3
2	0.025	7	3
2	0.025	20	7
2	0.050	1	58
2	0.050	2	14
2	0.050	3	4
2	0.050	4	7
2	0.050	5	4
2	0.050	6	3
2	0.050	7	3
2	0.050	20	7
2	0.075	1	58
2	0.075	2	14
2	0.075	3	4
2	0.075	4	6
2	0.075	5	5
2	0.075	6	3
2	0.075	7	3
2	0.075	20	7
2	0.100	1	58
2	0.100	2	14
2	0.100	3	4
2	0.100	4	6
2	0.100	5	5
2	0.100	6	3
2	0.100	7	3
2	0.100	20	7
2	0.150	1	57
2	0.150	2	14
2	0.150	3	4
2	0.150	4	6
2	0.150	5	5
2	0.150	6	3
2	0.150	7	3
2	0.150	11	1
2	0.150	20	7
2	0.200	1	57
2	0.200	2	14
2	0.200	3	4
2	0.200	4	5
2	0.200	5	5
2	0.200	6	3
2	0.200	7	3
2	0.200	10	1
2	0.200	11	1
2	0.200	20	7
3	0.000	1	53
3	0.000	2	21
3	0.000	3	7
3	0.000	4	2
3	0.000	5	3
3	0.000	6	2
3	0.000	7	2
3	0.000	8	1
3	0.000	11	1
3	0.000	15	1
3	0.000	20	7
3	0.025	1	54
3	0.025	2	19
3	0.025	3	7
3	0.025	4	3
3	0.025	5	7
3	0.025	6	2
3	0.025	7	1
3	0.025	8	1
3	0.025	20	6
3	0.050	1	54
3	0.050	2	19
3	0.050	3	7
3	0.050	4	3
3	0.050	5	7
3	0.050	6	2
3	0.050	7	1
3	0.050	8	1
3	0.050	20	6
3	0.075	1	54
3	0.075	2	19
3	0.075	3	7
3	0.075	4	3
3	0.075	5	7
3	0.075	6	2
3	0.075	7	1
3	0.075	8	1
3	0.075	20	6
3	0.100	1	54
3	0.100	2	19
3	0.100	3	7
3	0.100	4	3
3	0.100	5	7
3	0.100	6	2
3	0.100	7	1
3	0.100	8	1
3	0.100	20	6
3	0.150	1	52
3	0.150	2	20
3	0.150	3	7
3	0.150	4	3
3	0.150	5	7
3	0.150	6	3
3	0.150	7	1
3	0.150	8	1
3	0.150	20	6
3	0.200	1	50
3	0.200	2	21
3	0.200	3	7
3	0.200	4	3
3	0.200	5	7
3	0.200	6	3
3	0.200	7	1
3	0.200	8	1
3	0.200	11	1
3	0.200	20	6
6	0.000	1	53
6	0.000	2	15
6	0.000	3	12
6	0.000	4	8
6	0.000	5	1
6	0.000	7	2
6	0.000	8	2
6	0.000	9	2
6	0.000	20	5
6	0.025	1	58
6	0.025	2	17
6	0.025	3	11
6	0.025	4	1
6	0.025	5	3
6	0.025	7	1
6	0.025	8	2
6	0.025	9	1
6	0.025	20	6
6	0.050	1	58
6	0.050	2	17
6	0.050	3	11
6	0.050	4	1
6	0.050	5	3
6	0.050	7	1
6	0.050	8	2
6	0.050	9	1
6	0.050	20	6
6	0.075	1	58
6	0.075	2	17
6	0.075	3	11
6	0.075	4	1
6	0.075	5	3
6	0.075	7	1
6	0.075	8	2
6	0.075	9	1
6	0.075	20	6
6	0.100	1	58
6	0.100	2	17
6	0.100	3	11
6	0.100	4	1
6	0.100	5	3
6	0.100	7	1
6	0.100	8	2
6	0.100	9	1
6	0.100	20	6
6	0.150	1	58
6	0.150	2	17
6	0.150	3	11
6	0.150	4	1
6	0.150	5	3
6	0.150	7	1
6	0.150	8	2
6	0.150	9	1
6	0.150	20	6
6	0.200	1	58
6	0.200	2	16
6	0.200	3	11
6	0.200	4	2
6	0.200	5	3
6	0.200	7	1
6	0.200	8	2
6	0.200	9	1
6	0.200	20	6
