# extended sigma scan at N=1147 d=2
# seeds = [2, 3, 6], sigmas = [0.0, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2]
# 2026-06-13 21:14:54

sigma   seed  K_mean
0.000   2     3.2500
0.025   2     3.2500
0.050   2     3.2500
0.075   2     3.2600
0.100   2     3.2600
0.150   2     3.3600
0.200   2     3.4200
0.000   3     3.3900
0.025   3     3.0700
0.050   3     3.0700
0.075   3     3.0700
0.100   3     3.0700
0.150   3     3.1300
0.200   3     3.2400
0.000   6     3.0400
0.025   6     2.9600
0.050   6     2.9600
0.075   6     2.9600
0.100   6     2.9600
0.150   6     2.9600
0.200   6     2.9800
