# K histograms at N=2491 d=2
# Started: 2026-06-13 23:14:10

seed	sigma	K	count
1	0.000	1	76
1	0.000	2	14
1	0.000	3	2
1	0.000	4	2
1	0.000	7	1
1	0.000	20	5
1	0.050	1	79
1	0.050	2	12
1	0.050	3	1
1	0.050	4	2
1	0.050	5	1
1	0.050	20	5
2	0.000	1	73
2	0.000	2	11
2	0.000	3	7
2	0.000	4	2
2	0.000	5	1
2	0.000	8	1
2	0.000	20	5
2	0.050	1	68
2	0.050	2	15
2	0.050	3	8
2	0.050	4	3
2	0.050	11	1
2	0.050	20	5
3	0.000	1	79
3	0.000	2	12
3	0.000	3	2
3	0.000	4	2
3	0.000	5	1
3	0.000	20	4
3	0.050	1	73
3	0.050	2	13
3	0.050	3	5
3	0.050	4	3
3	0.050	5	1
3	0.050	6	1
3	0.050	20	4
4	0.000	1	73
4	0.000	2	12
4	0.000	3	7
4	0.000	4	2
4	0.000	6	1
4	0.000	20	5
4	0.050	1	72
4	0.050	2	16
4	0.050	3	5
4	0.050	4	2
4	0.050	20	5
5	0.000	1	68
5	0.000	2	18
5	0.000	3	4
5	0.000	4	2
5	0.000	5	2
5	0.000	20	6
5	0.050	1	77
5	0.050	2	14
5	0.050	3	2
5	0.050	4	1
5	0.050	20	6
